Year,T,P,E,PpE,PmE
1981,13.90741509,1084.552804,1084.845517,2169.398321,-0.292712874
1982,13.7700132,1083.881801,1084.778581,2168.660383,-0.896780092
1983,13.91018509,1086.689423,1086.862451,2173.551874,-0.173028117
1984,13.74393846,1080.156588,1080.222357,2160.378945,-0.065769271
1985,13.75049586,1080.527874,1081.283759,2161.811632,-0.755884975
1986,13.78288183,1078.736449,1079.063447,2157.799896,-0.326997876
1987,13.96063778,1087.645578,1088.708163,2176.353741,-1.06258538
1988,13.91680453,1087.497969,1087.154889,2174.652858,0.34307981
1989,13.86667766,1082.851031,1083.568177,2166.419208,-0.717145911
1990,13.9659997,1085.597262,1086.326518,2171.923781,-0.729256054
1991,13.94000416,1086.641805,1086.942855,2173.58466,-0.301050296
1992,13.77428677,1081.78628,1082.092536,2163.878816,-0.306256911
1993,13.82735353,1083.047365,1083.315911,2166.363276,-0.268545785
1994,13.91498798,1089.710031,1090.19086,2179.90089,-0.480828922
1995,13.99967246,1091.727956,1092.278217,2184.006173,-0.550261729
1996,13.98844894,1091.680428,1091.768233,2183.448662,-0.087805193
1997,14.13012136,1091.566642,1092.703271,2184.269913,-1.136629566
1998,14.27417384,1104.213532,1103.932568,2208.1461,0.280963808
1999,14.01482893,1091.467367,1091.776643,2183.244011,-0.309275663
2000,14.05932532,1092.987993,1093.249686,2186.237679,-0.26169232
2001,14.17083476,1092.680447,1093.334716,2186.015163,-0.654268673
2002,14.1803015,1092.316084,1092.735292,2185.051375,-0.419207616
2003,14.20344314,1095.798694,1095.985018,2191.783712,-0.186323993
2004,14.20506051,1092.47523,1092.916694,2185.391924,-0.441463311
2005,14.27921498,1096.817321,1096.994778,2193.812098,-0.177456827
2006,14.25729216,1094.090238,1094.680341,2188.770579,-0.590103627
2007,14.19417494,1095.766756,1095.55383,2191.320587,0.212925881
2008,14.14585867,1089.849287,1090.55739,2180.406676,-0.70810335
2009,14.26204255,1093.005949,1093.840595,2186.846544,-0.834645391
2010,14.39808109,1102.904939,1102.581005,2205.485943,0.323933762
2011,14.22370681,1091.452514,1091.486945,2182.939459,-0.034431832
2012,14.2938404,1090.372704,1091.374956,2181.74766,-1.002252198
2013,14.34390886,1094.412703,1094.601079,2189.013782,-0.188376399
2014,14.44596367,1099.258309,1099.643439,2198.901749,-0.3851299
